id;address;pricePerSqm;yearBuilt;sourceLink;salePrice;size;roomInfo;houseType;postcode
10;Tepontie 5A, Kaakkuri Oulu;2246;2011;http://www.etuovi.com/kohde/e46243?sc=M1042147289&pos=10;99962;44.5;2h + kk + sauna + p;Luhtitalo;90420
24;Runkotie 5 B, Oulunsalo Oulu;1653;1999;http://www.etuovi.com/kohde/7724940?sc=M1042147289&pos=44;83500;50.5;2h, k, s;Rivitalo;90460
42;Höyrymyllyntie 8 A 23, Toppilansalmi Oulu;3405;2018;http://www.etuovi.com/kohde/e44988?sc=M1042147289&pos=94;194100;57;2h+ kk + s;Kerrostalo;90520
45;Kauppalinnankatu 1 J75, Linnanmaa Oulu;3258;2017;http://www.etuovi.com/kohde/e44987?sc=M1042147289&pos=98;105900;32.5;1h+kk+alk+parveke;Kerrostalo;90570
48;Valjakkotie 1, Heikkilänkangas Oulu;274;2000;http://www.etuovi.com/kohde/e44977?sc=M1042147289&pos=111;15095.56;55;2H+K+S;Rivitalo;90310
56;Höyhenkuja 1, Kaakkuri Oulu;272;2001;http://www.etuovi.com/kohde/e44972?sc=M1042147289&pos=115;22836.99;84;4H+K+S;Kerrostalo;90420
66;Koskitie 39 E 44, Tuira Oulu;4336;2016;http://www.etuovi.com/kohde/e46226?sc=M1042147289&pos=69;424900;98;4h+k+s;Kerrostalo;90500
68;Asemakyläntie 135, Haukipudas Oulu;1845;2006;http://www.etuovi.com/kohde/e44946?sc=M1042147289&pos=101;179000;97;2-3h, k, kph, s;Omakotitalo;90840
78;Pakkahuoneenkatu 21, Keskusta Oulu;3293;2008;http://www.etuovi.com/kohde/1194825?sc=M1042147289&pos=51;298000;90.5;3h, k, rt, khh/vh, kph, s, wc, parv+varasto;Kerrostalo;90100
80;Kontiotie 5-7, Välivainio Oulu;1309;1963;http://www.etuovi.com/kohde/7733206?sc=M1042147289&pos=53;72000;55;2h, k;Kerrostalo;90530
109;Koskelantie 66 B, Toppila Oulu;1412;1963;http://www.etuovi.com/kohde/7733519?sc=M1042147289&pos=152;120000;85;4-5 h+k-kph+parveke;Kerrostalo;90520
115;Varsankellotie 1, Rajakylä Oulu;924;1974;http://www.etuovi.com/kohde/7732437?sc=M1042147289&pos=158;153000;165.5;5h, k, kph, s;Omakotitalo;90580
134;Mallastie 24 A, Toppilansalmi Oulu;2486;2012;http://www.etuovi.com/kohde/7733521?sc=M1042147289&pos=149;179000;72;3h+k+s;Kerrostalo;90520
139;Palhokuja 8 A 2, Kuivasranta Oulu;1947;2008;http://www.etuovi.com/kohde/e44947?sc=M1042147289&pos=172;148000;76;3h(2mh+oh)+tupak+erill.wc+kh/wc+s+et+tk+parveke;Rivitalo;90540
144;Betonimiehenkatu 9, Alppila Oulu;2704;2014;http://www.etuovi.com/kohde/9886971?sc=M1042147289&pos=180;242000;89.5;3h,k,s,vh,erill wc,lasit parv.;Kerrostalo;90530
156;Purjehtijantie 8 A 13, Koskela Oulu;1198;1976;http://www.etuovi.com/kohde/a79793?sc=M1042147289&pos=224;74900;62.5;2h+k+kph+aula+parveke;Kerrostalo;90560
220;Isokatu 55 A, Keskusta Oulu;3583;2011;http://www.etuovi.com/kohde/7732256?sc=M1042147289&pos=288;292000;81.5;3h, k, s;Kerrostalo;90620
300;Tervastie 12, Kirkkokangas Oulu;2087;2003;http://www.etuovi.com/kohde/9614643?sc=M1042147289&pos=270;430000;206;6h, k, rh, aula, khh, 3 kh, s, 4 wc,;Omakotitalo;90650
307;Haapakaarto 2, Haukipudas Oulu;1673;2007;http://www.etuovi.com/kohde/9699445?sc=M1042147289&pos=308;179000;107;4h+k+sa+ph;Rivitalo;90830
312;Kotikuusentie 4 C, Iinatti Oulu;1505;1988;http://www.etuovi.com/kohde/e44882?sc=M1042147289&pos=313;149000;99;4h(3mh+oh)+takkah+k+khh+kh+s+erill.wc+vh+et+tk;Rivitalo;90240
409;Huruntie 117, Kiiminki,Alakylä Oulu;1625;1985;http://www.etuovi.com/kohde/7733338?sc=M1042147289&pos=445;225000;138.5;5h+k+s+kellari ja autotalli + halli;Omakotitalo;90910
427;Talvikankaantie 13, Talvikangas Oulu;1853;2006;http://www.etuovi.com/kohde/2204842?sc=M1042147289&pos=433;151000;81.5;RT Talvikangas, 3h,k,s;Rivitalo;90630
464;Nylanderintie 2, Kaijonranta Oulu;1349;1986;http://www.etuovi.com/kohde/1195006?sc=M1042147289&pos=490;85000;63;1mh, oh, k, kph/wc, s, varasto.;Rivitalo;90570
496;Emäpuuntie 63, Koskela Oulu;1250;1969;http://www.etuovi.com/kohde/2204766?sc=M1042147289&pos=502;145000;116;4h, k, khh, kph, s, 2 eril. wc;Rivitalo;90560
506;Aseman Vanhatie 5, Haukipudas Oulu;1290;1999;http://www.etuovi.com/kohde/9864320?sc=M1042147289&pos=512;289000;224;7h,aula,k,khh,kph,s,vh,AT,AK,harrastetila;Omakotitalo;90830
529;Pitkätie 15 C, Jääli Oulu;1391;1989;http://www.etuovi.com/kohde/7732223?sc=M1042147289&pos=565;128000;92;4h, k, s;Rivitalo;90940
611;Puulinnankatu 12 D 32, Linnanmaa Oulu;1713;2002;http://www.etuovi.com/kohde/e44747?sc=M1042147289&pos=628;149000;87;Rivitalo, 3-4h,k,s;Rivitalo;90570
618;Pirrakatu 1, Toppila Oulu;937;1992;http://www.etuovi.com/kohde/9729398?sc=M1042147289&pos=655;59000;63;2H+K+S;Kerrostalo;90520
626;Kuntolenkki 1 A1, Kivikkokangas Oulu;2037;2016;http://www.etuovi.com/kohde/9515442?sc=M1042147289&pos=634;227100;111.5;4h+k+khh+wc+ph+s;Paritalo;90650
